molecule	gene	start	end	strand	orientation
NZ_CAKJXY010000002.1_206	Length	1	182	forward	1
NZ_CAKMMF010000006.1_157	Length	1	174	forward	1
NZ_CAMKIC010000014.1_81	Length	1	252	forward	1
NZ_CBLX010000003.1_313	Length	1	172	forward	1
NZ_CCZB01000022.1_164	Length	1	585	forward	1
NZ_CCZC01000006.1_39	Length	1	581	forward	1
NZ_CCZJ01000014.1_49	Length	1	581	forward	1
NZ_CCZM01000012.1_39	Length	1	581	forward	1
NZ_CCZN01000013.1_166	Length	1	585	forward	1
NZ_CCZP01000005.1_162	Length	1	581	forward	1
NZ_CCZQ01000011.1_42	Length	1	585	forward	1
NZ_CCZU01000015.1_21	Length	1	585	forward	1
NZ_CDEL01000317.1_14	Length	1	161	forward	1
NZ_CDLX01000001.1_4661	Length	1	495	forward	1
NZ_CDMD01000001.1_3216	Length	1	495	forward	1
NZ_CFNR01000558.1_3	Length	1	222	forward	1
NZ_CFYF01000056.1_13	Length	1	341	forward	1
NZ_CFZS01000367.1_3	Length	1	343	forward	1
NZ_CM000730.1_3010	Length	1	401	forward	1
NZ_CM000920.1_396	Length	1	183	forward	1
NZ_CM001798.1_1723	Length	1	934	forward	1
NZ_CM002139.1_1184	Length	1	592	forward	1
NZ_CM002796.1_2878	Length	1	212	forward	1
NZ_CM002803.1_1918	Length	1	159	forward	1
NZ_CM003641.1_47	Length	1	253	forward	1
NZ_CM003768.1_1645	Length	1	237	forward	1
NZ_CP004403.1_832	Length	1	879	forward	1
NZ_CP005975.1_3449	Length	1	172	forward	1
NZ_CP006644.1_2481	Length	1	189	forward	1
NZ_CP006723.1_2937	Length	1	358	forward	1
NZ_CP007065.1_333	Length	1	323	forward	1
NZ_CP007139.1_3570	Length	1	511	forward	1
NZ_CP007236.1_2903	Length	1	578	forward	1
NZ_CP007451.1_2705	Length	1	502	forward	1
NZ_CP007451.1_3408	Length	1	200	forward	1
NZ_CP007699.2_5893	Length	1	255	forward	1
NZ_CP007722.1_1933	Length	1	193	forward	1
NZ_CP007724.1_1905	Length	1	193	forward	1
NZ_CP007793.1_188	Length	1	188	forward	1
NZ_CP008858.2_2717	Length	1	211	forward	1
NZ_CP008998.1_691	Length	1	592	forward	1
NZ_CP009010.1_692	Length	1	592	forward	1
NZ_CP009016.1_692	Length	1	592	forward	1
NZ_CP009043.1_710	Length	1	167	forward	1
NZ_CP009048.1_1480	Length	1	175	forward	1
NZ_CP009278.1_2611	Length	1	158	forward	1
NZ_CP009438.1_1438	Length	1	345	forward	1
NZ_CP009513.1_1341	Length	1	361	forward	1
NZ_CP009517.1_1218	Length	1	306	forward	1
NZ_CP009530.1_1208	Length	1	306	forward	1
NZ_CP009590.1_4527	Length	1	241	forward	1
NZ_CP009887.1_2308	Length	1	174	forward	1
NZ_CP009941.1_2232	Length	1	241	forward	1
NZ_CP010327.1_2044	Length	1	180	forward	1
NZ_CP010470.1_815	Length	1	399	forward	1
NZ_CP010475.1_858	Length	1	399	forward	1
NZ_CP010483.1_801	Length	1	399	forward	1
NZ_CP010536.1_1091	Length	1	223	forward	1
NZ_CP010995.1_719	Length	1	167	forward	1
NZ_CP011059.1_1446	Length	1	169	forward	1
NZ_CP011131.1_159	Length	1	258	forward	1
NZ_CP011148.1_248	Length	1	225	forward	1
NZ_CP011148.1_328	Length	1	342	forward	1
NZ_CP011148.1_427	Length	1	455	forward	1
NZ_CP011148.1_661	Length	1	194	forward	1
NZ_CP011160.1_4512	Length	1	1107	forward	1
NZ_CP011270.1_3284	Length	1	484	forward	1
NZ_CP011371.1_2970	Length	1	223	forward	1
NZ_CP011382.1_240	Length	1	601	forward	1
NZ_CP011412.1_3047	Length	1	188	forward	1
NZ_CP011454.1_3709	Length	1	265	forward	1
NZ_CP011770.1_117	Length	1	230	forward	1
NZ_CP012036.1_3681	Length	1	426	forward	1
NZ_CP012076.1_2571	Length	1	268	forward	1
NZ_CP012077.1_2545	Length	1	268	forward	1
NZ_CP012195.1_852	Length	1	401	forward	1
NZ_CP012232.1_736	Length	1	399	forward	1
NZ_CP012334.1_2879	Length	1	293	forward	1
NZ_CP012373.2_3223	Length	1	169	forward	1
NZ_CP012401.1_187	Length	1	188	forward	1
NZ_CP012546.1_842	Length	1	239	forward	1
NZ_CP012601.1_1560	Length	1	171	forward	1
NZ_CP012603.1_3041	Length	1	358	forward	1
NZ_CP012606.1_1720	Length	1	227	forward	1
NZ_CP012639.1_3032	Length	1	252	forward	1
NZ_CP012691.1_2733	Length	1	164	forward	1
NZ_CP012914.1_2078	Length	1	884	forward	1
NZ_CP012943.1_2697	Length	1	262	forward	1
NZ_CP013233.1_1983	Length	1	228	forward	1
NZ_CP013420.1_534	Length	1	235	forward	1
NZ_CP013653.1_4715	Length	1	263	forward	1
NZ_CP013667.1_135	Length	1	350	forward	1
NZ_CP013667.1_754	Length	1	649	forward	1
NZ_CP013989.1_2660	Length	1	211	forward	1
NZ_CP014014.1_375	Length	1	541	forward	1
NZ_CP014262.1_1636	Length	1	202	forward	1
NZ_CP014354.1_125	Length	1	350	forward	1
NZ_CP014354.1_730	Length	1	649	forward	1
NZ_CP014548.1_127	Length	1	350	forward	1
NZ_CP014548.1_741	Length	1	649	forward	1
NZ_CP014549.1_124	Length	1	350	forward	1
NZ_CP014551.1_1572	Length	1	649	forward	1
NZ_CP014553.1_1588	Length	1	649	forward	1
NZ_CP014557.1_1574	Length	1	649	forward	1
NZ_CP014563.1_1676	Length	1	635	forward	1
NZ_CP014689.1_531	Length	1	167	forward	1
NZ_CP014692.1_344	Length	1	170	forward	1
NZ_CP014693.1_5091	Length	1	173	forward	1
NZ_CP014836.1_121	Length	1	350	forward	1
NZ_CP014836.1_703	Length	1	649	forward	1
NZ_CP014950.1_1786	Length	1	169	forward	1
NZ_CP015007.1_196	Length	1	298	forward	1
NZ_CP015033.1_2143	Length	1	237	forward	1
NZ_CP015081.1_749	Length	1	228	forward	1
NZ_CP015285.1_483	Length	1	188	forward	1
NZ_CP015506.1_4625	Length	1	425	forward	1
NZ_CP015510.2_1040	Length	1	273	forward	1
NZ_CP015510.2_326	Length	1	277	forward	1
NZ_CP015577.1_665	Length	1	167	forward	1
NZ_CP015578.1_749	Length	1	165	forward	1
NZ_CP015637.1_4223	Length	1	172	forward	1
NZ_CP015910.2_1138	Length	1	542	forward	1
NZ_CP015910.2_13	Length	1	232	forward	1
NZ_CP015910.2_1428	Length	1	367	forward	1
NZ_CP015910.2_1924	Length	1	156	forward	1
NZ_CP015910.2_239	Length	1	329	forward	1
NZ_CP015910.2_364	Length	1	665	forward	1
NZ_CP015910.2_597	Length	1	358	forward	1
NZ_CP015910.2_631	Length	1	258	forward	1
NZ_CP015910.2_944	Length	1	502	forward	1
NZ_CP015960.1_397	Length	1	224	forward	1
NZ_CP016049.1_785	Length	1	935	forward	1
NZ_CP016189.1_3899	Length	1	165	forward	1
NZ_CP016430.1_1017	Length	1	784	forward	1
NZ_CP016430.1_1153	Length	1	502	forward	1
NZ_CP016430.1_401	Length	1	398	forward	1
NZ_CP016430.1_526	Length	1	305	forward	1
NZ_CP016460.1_2656	Length	1	214	forward	1
NZ_CP016588.1_1064	Length	1	197	forward	1
NZ_CP016591.1_2933	Length	1	209	forward	1
NZ_CP017259.1_1608	Length	1	167	forward	1
NZ_CP017260.1_222	Length	1	245	forward	1
NZ_CP017562.2_1415	Length	1	192	forward	1
NZ_CP017641.1_1772	Length	1	482	forward	1
NZ_CP017641.1_2951	Length	1	566	forward	1
NZ_CP017754.1_1734	Length	1	193	forward	1
NZ_CP017769.1_3277	Length	1	217	forward	1
NZ_CP017878.1_1056	Length	1	414	forward	1
NZ_CP017995.1_1682	Length	1	193	forward	1
NZ_CP018145.1_1004	Length	1	157	forward	1
NZ_CP018202.1_2169	Length	1	185	forward	1
NZ_CP018787.1_1177	Length	1	238	forward	1
NZ_CP018847.1_4235	Length	1	592	forward	1
NZ_CP018854.1_953	Length	1	592	forward	1
NZ_CP018858.1_2603	Length	1	592	forward	1
NZ_CP018889.2_3229	Length	1	169	forward	1
NZ_CP019044.1_706	Length	1	225	forward	1
NZ_CP019226.1_478	Length	1	1107	forward	1
NZ_CP019426.1_1888	Length	1	173	forward	1
NZ_CP019428.1_4371	Length	1	172	forward	1
NZ_CP019600.1_1766	Length	1	335	forward	1
NZ_CP019600.1_2488	Length	1	383	forward	1
NZ_CP019600.1_2576	Length	1	427	forward	1
NZ_CP019600.1_621	Length	1	556	forward	1
NZ_CP019856.1_4263	Length	1	172	forward	1
NZ_CP019883.1_3696	Length	1	160	forward	1
NZ_CP019885.1_3599	Length	1	160	forward	1
NZ_CP019887.1_2333	Length	1	160	forward	1
NZ_CP019914.1_1055	Length	1	685	forward	1
NZ_CP019914.1_2480	Length	1	287	forward	1
NZ_CP019914.1_2548	Length	1	383	forward	1
NZ_CP020083.1_856	Length	1	214	forward	1
NZ_CP020882.1_4062	Length	1	592	forward	1
NZ_CP020926.1_74	Length	1	191	forward	1
NZ_CP020931.1_517	Length	1	232	forward	1
NZ_CP021006.2_695	Length	1	496	forward	1
NZ_CP021056.1_2438	Length	1	606	forward	1
NZ_CP021120.1_118	Length	1	331	forward	1
NZ_CP021120.1_75	Length	1	495	forward	1
NZ_CP021120.1_908	Length	1	1167	forward	1
NZ_CP021281.1_1866	Length	1	789	forward	1
NZ_CP021333.1_2018	Length	1	232	forward	1
NZ_CP021395.1_3476	Length	1	268	forward	1
NZ_CP021397.1_3647	Length	1	268	forward	1
NZ_CP021398.1_3716	Length	1	268	forward	1
NZ_CP021400.1_3577	Length	1	268	forward	1
NZ_CP021404.1_1752	Length	1	368	forward	1
NZ_CP021467.1_2580	Length	1	183	forward	1
NZ_CP021648.1_2137	Length	1	224	forward	1
NZ_CP022129.1_1290	Length	1	151	forward	1
NZ_CP022188.1_2334	Length	1	282	forward	1
NZ_CP022253.1_1098	Length	1	802	forward	1
NZ_CP022339.1_262	Length	1	726	forward	1
NZ_CP022382.1_1068	Length	1	494	forward	1
NZ_CP022515.1_945	Length	1	157	forward	1
NZ_CP022747.1_218	Length	1	191	forward	1
NZ_CP022759.1_2183	Length	1	499	forward	1
NZ_CP022780.1_1844	Length	1	292	forward	1
NZ_CP022788.1_2175	Length	1	499	forward	1
NZ_CP022791.1_1269	Length	1	764	forward	1
NZ_CP022887.1_1778	Length	1	707	forward	1
NZ_CP022957.1_2184	Length	1	198	forward	1
NZ_CP022957.1_3745	Length	1	218	forward	1
NZ_CP023688.1_3835	Length	1	206	forward	1
NZ_CP023963.1_1282	Length	1	202	forward	1
NZ_CP024035.1_3657	Length	1	166	forward	1
NZ_CP024091.1_2284	Length	1	217	forward	1
NZ_CP024628.1_1034	Length	1	316	forward	1
NZ_CP024749.1_1751	Length	1	323	forward	1
NZ_CP024847.1_1505	Length	1	882	forward	1
NZ_CP024902.1_2022	Length	1	236	forward	1
NZ_CP024924.1_72	Length	1	335	forward	1
NZ_CP025261.1_691	Length	1	220	forward	1
NZ_CP025533.1_2068	Length	1	193	forward	1
NZ_CP025534.1_2817	Length	1	193	forward	1
NZ_CP025544.1_1040	Length	1	471	forward	1
NZ_CP025544.1_16	Length	1	335	forward	1
NZ_CP025544.1_57	Length	1	404	forward	1
NZ_CP025544.1_62	Length	1	289	forward	1
